Age,disuti_M,disuti_L,disuti_U,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U,Batch
90,0.5032238531876497,0.47377041632317796,0.5331691415096121,0.15604065750933593,0.13934456432691153,0.17646957540308136,0.1556666442572517,0.13904468536841694,0.1760463814080447,0.15521040475305092,0.13870518659211636,0.17549493770444025,0.8592022685334086
50,0.3264343951779236,0.3107222171024694,0.3484970375868529,0.10366599032516802,0.09352421625579677,0.11605914095820473,0.10359610590006423,0.09346792305078927,0.11595916197324982,0.10350327463896214,0.0933942801683255,0.11582843875430432,0.7312635870184749
55,0.34483034840318094,0.33093297558238843,0.3627702491898549,0.10913652653338099,0.09893443940958281,0.12112948160781672,0.10903806264712136,0.09886586029920556,0.12101081893651035,0.10891897347803473,0.09876650864862244,0.12086674225288499,0.7312635870184749
60,0.36413140171867325,0.3524214905620805,0.3781486353099594,0.1149117947610611,0.10398167988015532,0.1271938819072831,0.11479696407932721,0.1038853684648663,0.1270669632048438,0.11464874514772724,0.10375968833413414,0.1269009011727627,0.7312635870184749
65,0.38457864616753523,0.3742333725194851,0.3953080829465896,0.12083378233151756,0.10953581785754724,0.13370969768864033,0.12069332574663748,0.10941277431378861,0.13354246740014034,0.12050982456457272,0.10925200990238776,0.13332400215668638,0.7312635870184749
70,0.40582161060398203,0.39481974132445263,0.4168051642664032,0.12722207133245,0.1155484229800103,0.14125002831897326,0.1270553225140964,0.11539963573947863,0.1410425854199303,0.1268329457909116,0.1152053065002807,0.1407717315804639,0.7312635870184749
75,0.42832613400833563,0.41396491431662846,0.44255428815523934,0.1339070571228454,0.12121228042689197,0.14897432881291434,0.13370291933678052,0.1210382339669071,0.14874300685244143,0.133429809537588,0.12081099705239359,0.14844102465371525,0.7312635870184749
80,0.45214151786815493,0.4322856805786254,0.4712743546400374,0.1410951064870397,0.1268837700052355,0.157182364529149,0.14084369297148708,0.12667604343227465,0.15690719716855864,0.14051284057478727,0.1264010186953748,0.1565334289813231,0.7312635870184749
85,0.477364692895088,0.44993848115290713,0.5027663087502456,0.14865430848685582,0.13259630522330096,0.16642878081282309,0.14835926902717717,0.1323406073251887,0.16608009045302682,0.14797450741482043,0.13200713116068355,0.16562939248081487,0.7312635870184749
90,0.5039248468581987,0.4678447247573197,0.5362654148986118,0.1565443622835191,0.13859254883069758,0.17631799783542038,0.15619022969643626,0.13828856337821333,0.17592658075044493,0.1557385536138,0.13789236395604332,0.17540120002804227,0.7312635870184749
50,0.3261220305071857,0.30986436140475,0.34426024172857705,0.09334845420717598,0.08416378610906358,0.10327956419699465,0.09328302403772565,0.08411131695491546,0.1031973306661838,0.09319885180541845,0.08404268193182814,0.10308979475432534,0.3385947276838124
55,0.34436329900413376,0.33019621354273776,0.35982161341284274,0.09833354259940061,0.08896378241568524,0.10845502549476926,0.09825638366270126,0.08889409832674737,0.10835297673227358,0.09815472983905502,0.08880297980176777,0.10821956268376455,0.3385947276838124
60,0.36355163971726967,0.3515100556523157,0.3762332504584323,0.10348721824740659,0.09393688202401367,0.11388209204441521,0.10338649582011258,0.09385320557166967,0.11376719980146435,0.10325197807867151,0.09374381646528343,0.11361703663701271,0.3385947276838124
65,0.3838515424453087,0.37270244520318335,0.39494481629963,0.10901099199730324,0.09908734087156335,0.12011164797663872,0.10889245611153986,0.09898116718758491,0.11997338165427358,0.10872744589243685,0.0988424260072499,0.11979272147330894,0.3385947276838124
70,0.40543508720846855,0.3939430036918334,0.4170358932042335,0.11481635941934173,0.10428463344870222,0.12695895594561593,0.11465956608714348,0.10415898073509136,0.1267884466863889,0.11446103445722292,0.10399484834522929,0.12656575673616002,0.3385947276838124
75,0.42811045349013893,0.4141463199341354,0.44281465352550453,0.12096541891779372,0.1098475521270253,0.13383107387022702,0.12078690333070144,0.10969236837155699,0.1336218360808633,0.1205414489994587,0.10948992926498631,0.13334871149679028,0.3385947276838124
