study,proxy,Source,Age,norm,norm_leoss,SID,SIK
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,56,0.694,0.7022422955100758,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,57,0.694,0.6989268081608487,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,58,0.694,0.695826561659149,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,59,0.694,0.6929958289015162,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,60,0.694,0.6903841424613503,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,61,0.694,0.6879004320520509,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,62,0.694,0.6855380662801571,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,63,0.694,0.683290413752208,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,64,0.694,0.6811508430747427,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,65,0.67,0.6791127228543004,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,66,0.67,0.6771694216974198,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,67,0.67,0.6753143082106402,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,68,0.67,0.6735407510005008,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,69,0.67,0.6718421186735406,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,70,0.67,0.6702117798362988,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,71,0.67,0.6686585232696364,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,72,0.67,0.6671946112445628,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,73,0.67,0.6658186226028389,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,74,0.67,0.6645291361862263,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,75,0.657,0.6633247308364856,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,76,0.657,0.6622039853953784,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,77,0.657,0.6611654787046651,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,78,0.657,0.6602077896061079,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,79,0.657,0.659329496941467,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,80,0.657,0.6585291795525039,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,81,0.657,0.6578078835458064,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,82,0.657,0.6571679306168744,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,83,0.657,0.6566098129908372,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,84,0.657,0.6561340228928245,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,85,0.657,0.6557410525479653,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,86,0.657,0.6554313941813892,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,87,0.657,0.6552055400182256,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,88,0.657,0.6550639822836036,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,89,0.657,0.6550072132026529,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,90,0.657,0.6550357250005028,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,91,0.657,0.6551489150143207,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,92,0.657,0.6553457947845761,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,93,0.657,0.6556262778413521,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,94,0.657,0.6559902777147311,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,95,0.657,0.6564377079347959,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,96,0.657,0.6569684820316289,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,97,0.657,0.6575825135353132,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,98,0.657,0.6582797159759309,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,99,0.657,0.6590600028835653,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,100,0.657,0.6599232877882986,RamTHA,7
Scott et al. 2006,UK,McNamara et al.,0,0.8983653442571508,0.8967289643453845,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,1,0.8983653442571508,0.8972412742288971,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,2,0.8983653442571508,0.8976753728271636,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,3,0.8983653442571508,0.8980308890489502,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,4,0.8983653442571508,0.8983074518030245,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,5,0.8983653442571508,0.8985046899981526,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,6,0.8983653442571508,0.8986222325431015,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,7,0.8983653442571508,0.8986597083466383,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,8,0.8983653442571508,0.8986167463175291,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,9,0.8983653442571508,0.8984929753645412,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,10,0.8983653442571508,0.898288024396441,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,11,0.8983653442571508,0.8980015223219958,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,12,0.8983653442571508,0.8976330980499718,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,13,0.8983653442571508,0.8971793700347102,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,14,0.8983653442571508,0.896638173369302,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,15,0.8983653442571508,0.8960109619206396,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,16,0.8983653442571508,0.8952991895556156,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,17,0.8983653442571508,0.8945043101411224,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,18,0.8942223114695699,0.8936277775440521,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,19,0.8942223114695699,0.8926710456312972,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,20,0.8770606569713967,0.8916355682697503,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,21,0.8770606569713967,0.8905227993263035,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,22,0.8770606569713967,0.8893341926678493,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,23,0.8770606569713967,0.8880712021612803,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,24,0.8770606569713967,0.8867352816734886,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,25,0.8824664537263252,0.8853278850713667,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,26,0.8824664537263252,0.8838229439002061,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,27,0.8824664537263252,0.8821990205759708,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,28,0.8824664537263252,0.8804645152715621,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,29,0.8824664537263252,0.8786278281598818,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,30,0.8924247801531272,0.8766973594138311,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,31,0.8924247801531272,0.8746815092063113,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,32,0.8924247801531272,0.8725886777102241,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,33,0.8924247801531272,0.8704272650984708,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,34,0.8924247801531272,0.8682056715439527,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,35,0.8583386764236658,0.8659322972195714,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,36,0.8583386764236658,0.8636155422982285,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,37,0.8583386764236658,0.861263806952825,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,38,0.8583386764236658,0.8588854913562627,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,39,0.8583386764236658,0.8563565972035146,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,40,0.8590127580040747,0.8535788114089786,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,41,0.8590127580040747,0.8505990619746917,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,42,0.8590127580040747,0.8474642769026921,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,43,0.8590127580040747,0.8442213841950174,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,44,0.8590127580040747,0.8409173118537053,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,45,0.8140806869843563,0.8375989878807935,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,46,0.8140806869843563,0.8343133402783195,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,47,0.8140806869843563,0.8311072970483211,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,48,0.8140806869843563,0.8280277861928361,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,49,0.8140806869843563,0.8251217357139019,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,50,0.8168027391759443,0.8224360736135566,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,51,0.8168027391759443,0.8199816797406498,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,52,0.8168027391759443,0.8177135285087294,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,53,0.8168027391759443,0.8155946897668795,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,54,0.8168027391759443,0.8135882333641853,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,55,0.799706716138512,0.811657229149731,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,56,0.799706716138512,0.809764746972601,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,57,0.799706716138512,0.8078738566818803,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,58,0.799706716138512,0.8059476281266532,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,59,0.799706716138512,0.803949131156004,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,60,0.789180770496633,0.8018414356190176,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,61,0.789180770496633,0.7995876113647786,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,62,0.789180770496633,0.7971507282423712,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,63,0.789180770496633,0.7944938561008803,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,64,0.789180770496633,0.791696883769206,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,65,0.7855595687035867,0.7888588939049761,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,66,0.7855595687035867,0.7859717471003654,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,67,0.7855595687035867,0.7830273039475497,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,68,0.7855595687035867,0.7800174250387042,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,69,0.7855595687035867,0.7769339709660043,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,70,0.7921420009714646,0.7737688023216254,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,71,0.7921420009714646,0.7705137796977426,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,72,0.7921420009714646,0.7671607636865316,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,73,0.7921420009714646,0.7637016148801675,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,74,0.7921420009714646,0.7601281938708256,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,75,0.7570600572178829,0.7564323612506815,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,76,0.7570600572178829,0.7526446108754342,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,77,0.7570600572178829,0.7487982179726173,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,78,0.7570600572178829,0.7448892151921566,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,79,0.7570600572178829,0.7409136351839792,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,80,0.7351890876753938,0.7368675105980113,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,81,0.7351890876753938,0.7327468740841793,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,82,0.7351890876753938,0.7285477582924096,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,83,0.7351890876753938,0.7242661958726287,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,84,0.7351890876753938,0.7198982194747632,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,85,0.6907670924827474,0.715439861748739,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,86,0.6907670924827474,0.7108871553444834,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,87,0.6907670924827474,0.7062361329119219,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,88,0.6907670924827474,0.7014828271009816,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,89,0.6907670924827474,0.696629585539332,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,90,0.662229247606729,0.6916823355321415,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,91,0.662229247606729,0.6866424792455865,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,92,0.662229247606729,0.6815114188458419,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,93,0.662229247606729,0.6762905564990833,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,94,0.662229247606729,0.6709812943714859,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,95,0.662229247606729,0.6655850346292254,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,96,0.662229247606729,0.6601031794384772,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,97,0.662229247606729,0.6545371309654168,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,98,0.662229247606729,0.6488882913762196,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,99,0.662229247606729,0.643158062837061,ScottUK,8
Scott et al. 2006,UK,McNamara et al.,100,0.662229247606729,0.63734784751411655,ScottUK,8
van Wijck et al. 2016,Netherlands,Janssen et al.,18,0.938,0.93636597748518,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,19,0.938,0.9350768839642142,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,20,0.938,0.933774400544763,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,21,0.938,0.9324563656060336,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,22,0.938,0.9311206175272332,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,23,0.938,0.9297649946875688,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,24,0.938,0.928387335466248,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,25,0.91,0.9269854782424776,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,26,0.91,0.9255572613954652,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,27,0.91,0.924100523304418,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,28,0.91,0.9226131023485428,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,29,0.91,0.9210870829725204,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,30,0.91,0.9195204611457276,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,31,0.91,0.917919942534416,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,32,0.91,0.916292232804839,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,33,0.91,0.9146440376232482,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,34,0.91,0.9129820626558964,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,35,0.922,0.9113130135690356,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,36,0.922,0.9096435960289184,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,37,0.922,0.9079805157017966,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,38,0.922,0.9063304782539232,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,39,0.922,0.9046691712165676,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,40,0.922,0.9029717758258838,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,41,0.922,0.9012442383054524,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,42,0.922,0.8994925048788525,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,43,0.922,0.8977225217696637,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,44,0.922,0.8959402352014662,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,45,0.874,0.8941515913978394,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,46,0.874,0.892362536582363,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,47,0.874,0.8905790169786169,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,48,0.874,0.8888069788101804,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,49,0.874,0.8870523683006337,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,50,0.874,0.8853675508310177,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,51,0.874,0.883778656836132,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,52,0.874,0.8822522801201934,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,53,0.874,0.8807550144874197,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,54,0.874,0.8792534537420273,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,55,0.869,0.8777141916882341,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,56,0.869,0.8761038221302566,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,57,0.869,0.8743889388723123,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,58,0.869,0.8725361357186182,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,59,0.869,0.8705120064733918,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,60,0.869,0.8683893568139662,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,61,0.869,0.8662593967497907,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,62,0.869,0.864116326583256,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,63,0.869,0.8619543466167522,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,64,0.869,0.8597676571526693,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,65,0.863,0.8575504584933985,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,66,0.863,0.8552969509413295,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,67,0.863,0.8530013347988532,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,68,0.863,0.8506578103683595,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,69,0.863,0.8482605779522391,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,70,0.863,0.8458038378528825,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,71,0.863,0.8431895400902817,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,72,0.863,0.8403658651374121,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,73,0.863,0.8373963589761377,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,74,0.863,0.8343445675883238,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,75,0.798,0.8312740369558337,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,76,0.798,0.8282483130605329,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,77,0.798,0.8253309418842851,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,78,0.798,0.8225854694089555,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,79,0.798,0.8200754416164079,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,80,0.798,0.8178644044885072,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,81,0.798,0.815819025095631,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,82,0.798,0.8137745266429042,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,83,0.798,0.8117472893143106,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,84,0.798,0.8097536932938357,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,85,0.798,0.8078101187654629,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,86,0.798,0.8059329459131777,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,87,0.798,0.8041385549209635,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,88,0.798,0.8024433259728059,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,89,0.798,0.8008636392526886,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,90,0.798,0.7994158749445964,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,91,0.798,0.798099927030803,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,92,0.798,0.79690084436263,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,93,0.798,0.7958127394276333,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,94,0.798,0.7948297247133693,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,95,0.798,0.7939459127073942,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,96,0.798,0.7931554158972641,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,97,0.798,0.7924523467705352,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,98,0.798,0.7918308178147633,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,99,0.798,0.7912849415175051,VanNL,9
van Wijck et al. 2016,Netherlands,Janssen et al.,100,0.798,0.7908088303663166,VanNL,9
